web-scraper-order,web-scraper-start-url,single_class,single_class-href
1555081789-1432,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Colloquium in Latin American and Latino/a Studies Mapping the Cultural Geography of Latin America: Landscapes of Development and Identity,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30622
1555082321-1689,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Linguistics for Educators,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30784
1555081581-1331,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Health Psychology,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30645
1555082036-1552,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Racquet Sports Squash,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30319
1555082342-1699,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Intermediate Macroeconomics,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30256
1555082158-1611,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Advanced Fiction Writing Workshop,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30142
1555081639-1359,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Theory of Meaning: Semantics of Natural Language,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30531
1555082030-1549,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Yoga Hatha Yoga I,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30313
1555082191-1626,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,The Technology of Reading and Writing,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30133
1555081939-1505,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Imagining Evil,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30155
1555082047-1557,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Racquet Sports Tennis I,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30305
1555081828-1451,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ,Elementary Italian,https://www.smith.edu/academics/academic-program/curriculum/course-search?term=Spring%202019&dept=&instr=&credits=&course_numb=&course_keywd=&op=Submit&form_build_id=form-wSG62yvY68KkiUZOUK9sJyDEIeEEGbduhWwsMNv3CUM&form_id=campus_course_search_basic_search_form&fbclid=IwAR1M3d6zHkQEViaIB1cXlAzaQtSRoRKalwEgLsPxcq6oUhyALUuxc3z3ayQ#30463
